representation,u_minus_i_l2,u_minus_i_fro,max_bond,bond_dims,max_coeff,frobenius_norm,near_zero_branch_count,mpo_vs_identity_fro,notes,section,chi_max,input_max_bond,input_norm,copy_infidelity,canonical_infidelity,copy_max_bond,canonical_max_bond,identical_across_methods,method,x_fraction,theta,input_output_infidelity,exact_infidelity,phase_aligned_distance,norm_before,norm_after,norm_change,output_max_bond,peak_bond,bond_profile,discarded_weight,compression_residual,variational_objective_initial,variational_objective_final,variational_converged,variational_sweeps,variational_worse_than_input,unchanged_input_baseline_infidelity,pass_check,failure_message
dense_gate_matrix,0.0,0.0,1,[1],1.0,2.0,0,,4×4 dense gate matrix at θ=0 via normal benchmark construction,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dense_make_gate,0.0,0.0,1,[1],1.0,2.0,0,,4×4 dense gate matrix at θ=0 via normal benchmark construction,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpo_from_gate_theta0,0.0,0.0,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.4142135623730951,17.142135623730955,0,0.0,MPO.from_gate(RZZ(0)); tensor Frobenius diff vs I_MPO=4.182e+00; operator-action infidelity=0.000e+00; bond>1 on support is allowed if action matches identity,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mpo_identity_reference,0.0,0.0,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,16.970562748477146,0,0.0,Minimal bond-dimension-one identity MPO reference,gate_construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Input fits within χ=8: True,initial_state,8,8,0.9999999999999996,0.0,0.0,8,8,True,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Input fits within χ=12: True,initial_state,12,8,0.9999999999999996,0.0,0.0,8,8,True,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Input fits within χ=16: True,initial_state,16,8,0.9999999999999996,0.0,0.0,8,8,True,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,theta_zero,8,8,,,,,,,hybrid_tdvp,0.0,0.0,0.0,0.0,1.009520460366029e-13,0.9999999999999996,1.0000000000000204,2.0872192862952943e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.02595136062951e-30,,,,,,,0.0,True,
,,,,,,,,,,theta_zero,8,8,,,,,,,tebd_swap,0.0,0.0,0.2997659657171152,0.2997659657171152,0.5713144894345598,0.9999999999999996,0.8013495350004578,0.19865046499954175,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.0547129625349974,,,,,,,0.0,True,
,,,,,,,,,,theta_zero,8,8,,,,,,,mpo_zipup,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.6779613264519288e-32,0.0,,,,,,0.0,True,
,,,,,,,,,,theta_zero,8,8,,,,,,,variational_mpo,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,0.0,True,
,,,,,,,,,,swap_routing,8,8,,,,,,,tebd_swap,0.0,0.0,0.2997659657171152,0.2997659657171152,0.5713144894345598,0.9999999999999996,0.8013495350004578,0.19865046499954175,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.0547129625349974,,,,,,,0.0,True,SWAP-forward/SWAP-back routing with RZZ(0)=I through tebd_swap path (no gate bypass)
,,,,,,,,,,theta_zero,12,8,,,,,,,hybrid_tdvp,0.0,0.0,0.0,0.0,1.009520460366029e-13,0.9999999999999996,1.0000000000000204,2.0872192862952943e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.02595136062951e-30,,,,,,,0.0,True,
,,,,,,,,,,theta_zero,12,8,,,,,,,tebd_swap,0.0,0.0,0.24403805838488868,0.24403805838488868,0.5109584741534838,0.9999999999999996,0.8756718397654795,0.12432816023452009,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.4716442927404556,,,,,,,0.0,True,
,,,,,,,,,,theta_zero,12,8,,,,,,,mpo_zipup,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.6779613264519288e-32,0.0,,,,,,0.0,True,
,,,,,,,,,,theta_zero,12,8,,,,,,,variational_mpo,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,0.0,True,
,,,,,,,,,,swap_routing,12,8,,,,,,,tebd_swap,0.0,0.0,0.24403805838488868,0.24403805838488868,0.5109584741534838,0.9999999999999996,0.8756718397654795,0.12432816023452009,12,12,"[1, 2, 4, 8, 12, 12, 12, 12, 12, 8, 4, 2, 1]",0.4716442927404556,,,,,,,0.0,True,SWAP-forward/SWAP-back routing with RZZ(0)=I through tebd_swap path (no gate bypass)
,,,,,,,,,,theta_zero,16,8,,,,,,,hybrid_tdvp,0.0,0.0,0.0,0.0,1.009520460366029e-13,0.9999999999999996,1.0000000000000204,2.0872192862952943e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.02595136062951e-30,,,,,,,0.0,True,
,,,,,,,,,,theta_zero,16,8,,,,,,,tebd_swap,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,4.200650939040479e-15,0.9999999999999996,1.0000000000000022,2.6645352591003757e-15,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",3.0429404458180792e-30,,,,,,,0.0,True,
,,,,,,,,,,theta_zero,16,8,,,,,,,mpo_zipup,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.6779613264519288e-32,0.0,,,,,,0.0,True,
,,,,,,,,,,theta_zero,16,8,,,,,,,variational_mpo,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,0.0,True,
,,,,,,,,,,swap_routing,16,8,,,,,,,tebd_swap,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,4.200650939040479e-15,0.9999999999999996,1.0000000000000022,2.6645352591003757e-15,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",3.0429404458180792e-30,,,,,,,0.0,True,SWAP-forward/SWAP-back routing with RZZ(0)=I through tebd_swap path (no gate bypass)
,,,,,,,,,,continuity,8,8,,,,,,,hybrid_tdvp,0.0,0.0,0.0,0.0,1.009520460366029e-13,0.9999999999999996,1.0000000000000204,2.0872192862952943e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",2.02595136062951e-30,,,,,,,0.0,True,
,,,,,,,,,,continuity,8,8,,,,,,,tebd_swap,0.0,0.0,0.2997659657171152,0.2997659657171152,0.5713144894345598,0.9999999999999996,0.8013495350004578,0.19865046499954175,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.0547129625349974,,,,,,,0.0,True,
,,,,,,,,,,continuity,8,8,,,,,,,mpo_zipup,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.6779613264519288e-32,0.0,,,,,,0.0,True,
,,,,,,,,,,continuity,8,8,,,,,,,variational_mpo,0.0,0.0,0.0,0.0,1.9835377377718347e-15,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,0.0,True,
,,,,,,,,,,continuity,8,8,,,,,,,hybrid_tdvp,1e-12,6.283185307179586e-12,0.0,0.0,3.1407472520922265e-12,0.9999999999999996,1.0000000000000318,3.219646771412954e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.973921089137276e-23,,,,,,,0.0,True,
,,,,,,,,,,continuity,8,8,,,,,,,tebd_swap,1e-12,6.283185307179586e-12,0.29976596571709746,0.2997659657171281,0.5713144894345726,0.9999999999999996,0.8013495350004483,0.1986504649995513,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.054712962534957,,,,,,,0.0,True,
,,,,,,,,,,continuity,8,8,,,,,,,mpo_zipup,1e-12,6.283185307179586e-12,0.0,0.0,3.1410925479736585e-12,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208818958328e-23,0.0,,,,,,0.0,True,
,,,,,,,,,,continuity,8,8,,,,,,,variational_mpo,1e-12,6.283185307179586e-12,0.0,0.0,3.1410925479736585e-12,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",0.0,0.0,0.0,0.0,True,0,False,0.0,True,
,,,,,,,,,,continuity,8,8,,,,,,,hybrid_tdvp,1e-10,6.283185307179587e-10,0.0,0.0,2.499292118657398e-10,0.9999999999999996,1.0000000000000224,2.2870594307278225e-14,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9768916308013294e-19,,,,,,,0.0,True,
,,,,,,,,,,continuity,8,8,,,,,,,tebd_swap,1e-10,6.283185307179587e-10,0.299765965715334,0.2997659657183772,0.5713144894358791,0.9999999999999996,0.8013495349994756,0.19865046500052397,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.054712962530956,,,,,,,0.0,True,
,,,,,,,,,,continuity,8,8,,,,,,,mpo_zipup,1e-10,6.283185307179587e-10,0.0,0.0,3.141024724949389e-10,0.9999999999999996,0.9999999999999994,1.1102230246251565e-16,8,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",1.9739208802180394e-19,0.0,,,,,,0.0,True,
