method,theta,median,minimum,maximum,n_samples
hybrid_tdvp,0.0125,2.6424015550308155e-05,1.72493344311464e-05,3.102763791384966e-05,9
hybrid_tdvp,0.025,0.00010568996885595983,6.885800506839512e-05,0.00012406418708388323,9
hybrid_tdvp,0.05,0.0004225548333638418,0.0002737367444930472,0.0004957346990338563,9
hybrid_tdvp,0.1,0.0016860344774703995,0.0010738649293019487,0.0019761999176742817,9
hybrid_tdvp,0.2,0.006667166181291373,0.0040391829726272865,0.007799769416371394,9
tebd_swap,0.0125,0.627658721185484,0.5502451080140198,0.7277806663859114,9
tebd_swap,0.025,0.627808530332328,0.5502067491780993,0.7278640649136195,9
tebd_swap,0.05,0.62826683154013,0.5502866682492495,0.7280708588960836,9
tebd_swap,0.1,0.6297103867028047,0.5510429147182623,0.7288356894935432,9
tebd_swap,0.2,0.6344423245263942,0.5551068628036464,0.7319964778716823,9
mpo_zipup,0.0125,0.22300743517481836,0.09489654743468612,0.2459506793357551,9
mpo_zipup,0.025,0.2230074351748168,0.09489654743468401,0.24595067933575165,9
mpo_zipup,0.05,0.22300743517481714,0.09489654743469034,0.24595067933575177,9
mpo_zipup,0.1,0.22300743517482102,0.09489654743468234,0.245950679335752,9
mpo_zipup,0.2,0.2230074351748148,0.09489654743469167,0.2459506793357532,9
variational_mpo,0.0125,0.22300743517481836,0.09489654743468612,0.2459506793357551,9
variational_mpo,0.025,0.2230074351748168,0.09489654743468401,0.24595067933575165,9
variational_mpo,0.05,0.22300743517481714,0.09489654743469034,0.24595067933575177,9
variational_mpo,0.1,0.22300743517482102,0.09489654743468234,0.245950679335752,9
variational_mpo,0.2,0.2230074351748148,0.09489654743469167,0.2459506793357532,9
